mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.816803057988485,0.3112239571343361,0.1749261220296224,0.004965081468026285,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.037972791149648674,0.04156077141575722,0.039473684210526314,0.039669082258644066,0.0014712887537580226,41
7.059262911478679,0.18252614703585276,0.35011903444925946,0.012523350872674208,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.042158768126775305,0.03931828374943938,0.03723086124401914,0.039569304373411274,0.002019624565197423,46
18.752022822697956,0.7955783318094306,0.907166322072347,0.03172669789963535,True,,1,2,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.04185976977126626,0.03991628046045747,0.037529904306220094,0.03976865151264794,0.0017707398578039575,40
3.990916649500529,0.2001772765428284,0.17124700546264648,0.00893910920990176,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.03961728210494842,0.04440125579309314,0.04231459330143541,0.04211104373315899,0.001958345455101386,26
6.934020042419434,0.060142556041475316,0.3441786766052246,0.0069141215976413544,True,,1,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.03961728210494842,0.04499925250411123,0.03588516746411483,0.04016723402439149,0.0037410757690220483,37
18.266233682632446,0.6045192114483553,0.898057778676351,0.029712313026941956,True,,1,5,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.042457766482284345,0.03857078786066677,0.035586124401913874,0.03887155958162166,0.0028133863274559575,58
3.406196117401123,0.08056022033801827,0.1705204645792643,0.010005380676168492,True,,1,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.04051427717147556,0.036627298549857974,0.03842703349282297,0.03852286973805217,0.0015882987000042435,66
6.77698810895284,0.10335868297717846,0.3414612611134847,0.010408198081702,True,,1,10,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.036029301838839886,0.037972791149648674,0.03842703349282297,0.03747637549377051,0.0010399040496375373,78
17.53294022878011,0.3617859895969215,0.8703715006510416,0.04565523348386139,True,,1,10,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.03827178950515772,0.036328300194348934,0.03842703349282297,0.037675707730776546,0.0009548666489246858,77
3.472207466761271,0.04581736980046746,0.17506877581278482,0.007897918766922153,True,,2,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.047241740170429064,0.04275676483779339,0.03782894736842105,0.0426091507922145,0.0038441739046009686,21
7.040412584940593,0.16439860883098836,0.35665059089660645,0.016330271773341582,True,,2,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.0354313051278218,0.037673792794139634,0.035586124401913874,0.036230407441291766,0.0010225827462914403,107
17.473149061203003,0.24874657247747403,0.8469882011413574,0.04009670241221513,True,,2,2,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.03827178950515772,0.03827178950515772,0.035586124401913874,0.03737656780407644,0.0012660346709998627,79
3.572480837504069,0.11760278523426611,0.17894482612609863,0.0044255380387474555,True,,2,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.040813275526984605,0.040813275526984605,0.03588516746411483,0.039170572839361345,0.002323132419783544,51
6.919371525446574,0.12344241927382495,0.3394957383473714,0.0074918865132978674,True,,2,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.04051427717147556,0.04051427717147556,0.03618421052631579,0.03907092162308897,0.00204121299185477,53
18.14670769373576,0.10815894215378785,0.8511291344960531,0.029785983964372344,True,,2,5,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.04499925250411123,0.03857078786066677,0.03588516746411483,0.03981840260963094,0.0038239633410417024,39
3.4217793941497803,0.08001683142606354,0.16709391276041666,0.011260587570859694,True,,2,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.036328300194348934,0.04305576319330243,0.03618421052631579,0.03852275797132238,0.0032058584617314033,68
6.6867687702178955,0.15856650333378267,0.3243987560272217,0.011597945120812837,True,,2,10,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.036328300194348934,0.036627298549857974,0.03618421052631579,0.036379936423507564,0.00018453811579711063,104
