mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4626612663269043,0.014768212383238763,0.030634164810180664,0.0014629092927888794,0.8,0,0.1,3,1,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.7}",0.04021527881596651,0.03573030348333084,0.04066985645933014,0.038871812919542496,0.0022291211065973474,106
0.3775077660878499,0.020011770920562572,0.040163516998291016,0.009175790587157453,0.8,0,0.1,3,1,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.0354313051278218,0.03916878457168486,0.03812799043062201,0.03757602671004289,0.0015749467948582454,115
0.7059689362843832,0.02739660257513397,0.049764394760131836,0.003939931710751403,0.8,0,0.1,3,1,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 0.7}",0.04185976977126626,0.037673792794139634,0.04709928229665072,0.0422109482873522,0.003855944143190433,88
0.4884030818939209,0.007207253843106863,0.038084983825683594,0.005898167451908666,0.8,0,0.1,3,1,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 1.0}",0.03513230677231275,0.03991628046045747,0.04485645933014354,0.039968348854304586,0.003970039385213547,100
0.49922704696655273,0.021924073691193546,0.0308682123819987,0.0019397811818908234,0.8,0,0.1,3,3,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.7}",0.03573030348333084,0.03573030348333084,0.03842703349282297,0.03662921348649489,0.0012712507178274323,120
0.357403039932251,0.014092579088393951,0.03430422147115072,0.0014637174816947184,0.8,0,0.1,3,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.036029301838839886,0.0340858125280311,0.03842703349282297,0.03618071595323132,0.0017755270657497401,123
0.7591462135314941,0.012649449835202218,0.03709944089253744,0.00030137474831185994,0.8,0,0.1,3,3,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'subsample': 0.7}",0.037374794438630586,0.03991628046045747,0.04680023923444976,0.041363771377845936,0.003981722815289906,93
0.6168680985768636,0.07312419472078653,0.04513700803120931,0.006330688995858476,0.8,0,0.1,3,3,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'subsample': 1.0}",0.0354313051278218,0.03827178950515772,0.04066985645933014,0.038124317030769884,0.002141170413775063,111
0.7850348949432373,0.05340647256362509,0.05519906679789225,0.01419925108200351,0.8,0,0.1,6,1,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.7}",0.049334728658992376,0.044849753326356705,0.05651913875598086,0.05023454024710997,0.004806307296796864,44
0.6627638339996338,0.007373265805641875,0.05785234769185384,0.00867082447448433,0.8,0,0.1,6,1,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.043803259082075045,0.04006577963821199,0.04560406698564593,0.04315770190197765,0.0023066158096900578,81
1.0301133791605632,0.03189791936996817,0.06627488136291504,0.002166054927080884,0.8,0,0.1,6,1,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 0.7}",0.056809687546718494,0.04783973688144715,0.05636961722488038,0.053673013884348676,0.0041286604701343925,30
0.7817679246266683,0.04852692133451708,0.0682360331217448,0.008099317454352543,0.8,0,0.1,6,1,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 1.0}",0.04873673194797429,0.04365375990432053,0.05083732057416268,0.0477426041421525,0.0030157479497969534,59
0.7128763198852539,0.006559587176003058,0.0552979310353597,0.006544253434840264,0.8,0,0.1,6,3,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.7}",0.050680221258783076,0.04739123934818359,0.04665071770334928,0.04824072610343865,0.0017512748758792308,55
0.5453933080037435,0.014884188486210858,0.060024420420328774,0.009363036635533312,0.8,0,0.1,6,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.048288234414710716,0.04126177306024817,0.0506877990430622,0.04674593550600703,0.00399970881440243,63
