mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
15.711611668268839,0.20992277885718916,0.04799294471740723,1.593425882320676e-06,1.0,200,7,0.2,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.2}",0.6403162099543726,0.6524548323028672,0.636590923582376,0.6431206552798718,0.0067732112108809545,10
3.9696434338887534,0.8054301863872618,0.015996138254801433,1.1558315889166414e-05,1.0,100,3,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.6942540427999658,0.7101754556413766,0.6866606707586501,0.6970300563999975,0.009798502118551813,1
5.70850412050883,0.012682919934869101,0.023996273676554363,4.052336624139774e-07,0.8,200,3,0.2,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2}",0.6772761563579485,0.6785710496795812,0.6627511485631634,0.6728661182002309,0.007171873081592272,6
9.38551696141561,0.1581646326575611,0.037307024002075195,0.0018635657044778723,0.8,200,5,0.2,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2}",0.6535883711865534,0.6619842015659958,0.6376309787089334,0.6510678504871609,0.010100647976853986,9
4.62878696123759,0.013194051677966544,0.021326224009195965,0.001885201001351705,0.8,100,5,0.1,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.6769311126011434,0.6980879282744172,0.6745835584595439,0.6832008664450347,0.010570279404879398,4
11.048767725626627,0.044419623938890734,0.03333799044291178,0.0018773168881168762,1.0,200,5,0.2,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2}",0.6458732598917669,0.6640805902161828,0.6531713990713055,0.6543750830597518,0.007481682553348997,8
7.950622638066609,0.06537143284376702,0.03066865603129069,0.0018879630626172283,1.0,100,7,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1}",0.6705900248241367,0.6763691296790452,0.657391746453633,0.6681169669856049,0.0079423875430327,7
2.85833477973938,0.01857744049356634,0.01730481783548991,0.001887022595345122,0.8,100,3,0.1,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.6959817781105806,0.7083202815062729,0.6858924450440352,0.6967315015536296,0.009171460299029533,2
6.680224180221558,0.022371215008545508,0.03199664751688639,2.6501547496371375e-06,0.8,100,7,0.05,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.05}",0.6805328213786204,0.6910304494239609,0.6753067589320572,0.6822900099115462,0.006538317537230304,5
5.5059951941172285,0.033535684413521956,0.020000219345092773,2.045496170683585e-05,1.0,100,5,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.682790984571455,0.6983238383036366,0.6736483757912975,0.6849210662221298,0.010185694164803524,3
