mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3378728389739991,0.18358379684366724,0.03624768257141113,0.0040964570490218824,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,1.323947171692001,1.3229504111637178,1.3238664673642253,1.3238664673642253,1.3238664673642253,1.3236993969896789,0.0003757950507270353
2.726527786254883,0.29778728655706804,0.06080894470214844,0.005916766287426858,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,1.323947171692001,1.3229504111637178,1.3238664673642253,1.3238664673642253,1.3238664673642253,1.3236993969896789,0.0003757950507270353
6.6305074214935305,0.47479269442680166,0.14004745483398437,0.006728260541211559,True,,1,2,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,1.323947171692001,1.3229504111637178,1.3238664673642253,1.3238664673642253,1.3238664673642253,1.3236993969896789,0.0003757950507270353
1.1528905391693116,0.10769070771228711,0.02994542121887207,0.004521878790065735,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.76700722651383,0.7772240219287316,0.7110114598903836,0.7745391131041355,0.7521175884404584,0.7563798819755079,0.02430488496653139
2.652207374572754,0.3351970909936733,0.06335287094116211,0.005388133814273581,True,,1,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.7632693745327686,0.7547969100423623,0.763328350772297,0.7820129546586946,0.7521175884404584,0.7631050356893161,0.010462650003190773
5.559719800949097,0.19339471360649976,0.126418399810791,0.004599456783708254,True,,1,5,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.7408422626463992,0.7473212060802392,0.7334329845540608,0.7446437468858994,0.7558545092177379,0.7444189418768673,0.007385523242425463
1.0407754898071289,0.04758555895990547,0.025835466384887696,0.002043829239663348,True,,1,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.2250186892599053,0.22402192873162222,0.18036870951669157,0.22521175884404585,0.19531639262580966,0.20998749579561493,0.018693282424548346
2.142557668685913,0.05833172697295547,0.05435833930969238,0.0038155127684802287,True,,1,10,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.19885372539247445,0.20907052080737604,0.1841056302939711,0.22147483806676632,0.1841056302939711,0.1995220689709118,0.014483624198022868
5.30717978477478,0.19656635504602807,0.12645139694213867,0.009950452019390205,True,,1,10,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.19885372539247445,0.19785696486419138,0.18036870951669157,0.2027902341803687,0.17663178873941207,0.19130028453862763,0.010646385019017148
1.051997995376587,0.022541012384374382,0.027368545532226562,0.00401303242074092,True,,2,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.4044355843508597,0.44081734363319214,0.4718485301444943,0.48679621325361233,0.4419531639262581,0.44917016706168333,0.028471266877147523
2.1206265926361083,0.06978010050841335,0.05302486419677734,0.003391156955156513,True,,2,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,29,0.4044355843508597,0.42960378769000745,0.43447932237169906,0.48305929247633284,0.41953163926258097,0.43422192523029607,0.026493442554537606
