mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
4.7547301054000854,0.08829772472381592,0.3261920213699341,0.005505204200744629,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9152052867379856,0.9461971956791831,0.9307012412085844,0.01549595447059876,11
9.317768216133118,0.3260897397994995,0.6367374658584595,0.06280934810638428,True,10,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9165853230736452,0.9465964124414127,0.9315908677575289,0.015005544683883765,9
4.679641246795654,0.12883758544921875,0.33666133880615234,0.02064204216003418,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9132564062003165,0.9460266910104271,0.9296415486053717,0.016385142405055342,13
9.48698353767395,0.22299647331237793,0.7031307220458984,0.058402061462402344,True,10,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9152616501915904,0.9471078309669754,0.9311847405792829,0.015923090387692462,10
4.65259575843811,0.014580726623535156,0.3496021032333374,0.019959092140197754,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9136948237594473,0.9449200935109379,0.9293074586351926,0.015612634875745268,14
9.554579019546509,0.20151495933532715,0.7457275390625,0.01970195770263672,True,10,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9144599345179004,0.9449262162111389,0.9296930753645196,0.015233140846619253,12
4.7094504833221436,0.03493213653564453,0.32230961322784424,0.016589045524597168,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9123731022642987,0.9454968805140854,0.928934991389192,0.01656188912489337,16
10.285178899765015,0.46284914016723633,0.6112062931060791,0.00395512580871582,True,10,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9132299162722537,0.9450335245883463,0.9291317204303,0.015901804158046318,15
7.010843515396118,0.3726058006286621,0.5714892148971558,0.05362379550933838,True,15,1,2,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9522519136183197,0.9830379840624086,0.9676449488403642,0.015393035222044438,2
13.168617725372314,0.27292847633361816,0.7500021457672119,0.002905130386352539,True,15,1,2,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9532318082224213,0.9840174370682497,0.9686246226453354,0.015392814422914236,1
7.230022192001343,0.3642721176147461,0.45342302322387695,0.028349876403808594,True,15,1,5,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9501104126936251,0.9807801398988062,0.9654452762962156,0.015334863602590565,4
12.73927891254425,0.03850424289703369,0.7787142992019653,0.00848400592803955,True,15,1,5,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9505855008109773,0.9817602493344937,0.9661728750727354,0.015587374261758213,3
6.442301511764526,0.013620138168334961,0.4461883306503296,0.008889555931091309,True,15,2,2,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9488752742951787,0.9790785901920643,0.9639769322436216,0.015101657948442815,7
11.932639956474304,0.11833512783050537,0.6393246650695801,6.365776062011719e-05,True,15,2,2,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9492133714711912,0.9804015350337446,0.964807453252468,0.015594081781276692,5
6.168954968452454,0.08890950679779053,0.3846179246902466,0.012182116508483887,True,15,2,5,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9488683877493387,0.9787825642016436,0.9638254759754912,0.014957088226152437,8
10.366028666496277,0.1092602014541626,0.5816371440887451,0.016553878784179688,True,15,2,5,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.948986425770758,0.9798308110553574,0.9644086184130577,0.015422192642299715,6
