mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.103259515762329,0.07766211852657719,0.02452545166015625,0.0005241877278147322,0.8,0.05,3,100,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9347621563796051,0.9223311355571464,0.9221743096040438,0.9280873379956205,0.9265882041683302,0.9267886287409492,0.004614437025743191,108
0.7891454696655273,0.10604520940868127,0.0281705379486084,0.004397006643073487,0.8,0.05,3,100,1.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1}",0.9311174540982928,0.9251888363491902,0.9242577265405904,0.9292688844927066,0.9278924720961945,0.9275450747153948,0.0025382126311505764,107
1.1614214420318603,0.15767748493710623,0.025676727294921875,0.0011014694772644525,0.8,0.05,3,100,0.09608346534112634,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 0.8}",0.9322080005179545,0.9312110275385628,0.9285215277092997,0.9362475461679943,0.9316872419079393,0.93197506876835,0.0024860357792831542,106
0.7947279453277588,0.05476056249758681,0.025771951675415038,0.0010300852192594862,0.8,0.05,3,100,0.09608346534112634,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 1}",0.9366254948502162,0.932292846901619,0.9287227348477041,0.933557076665775,0.9292764987572486,0.9320949304045125,0.00289890726479763,105
1.8642451286315918,0.08116451814122361,0.03747391700744629,0.0028660302134006443,0.8,0.05,3,200,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9526578064416418,0.9449685236699407,0.9459871278152776,0.949000311936331,0.9489833223668185,0.948319418446002,0.002697927728771074,101
1.2995049953460693,0.05794478257706376,0.0443763256072998,0.013680678064020754,0.8,0.05,3,200,1.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 1}",0.9494437881333214,0.9448502608644022,0.9448070358276255,0.9496624493849364,0.9471765147313784,0.9471880097883327,0.0021140305782177717,103
1.7997808456420898,0.041852238985142,0.03891081809997558,0.0011632134212014545,0.8,0.05,3,200,0.09608346534112634,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 0.8}",0.9535199575850131,0.9474244814972229,0.9517184171178007,0.9511630182846007,0.9520431777520736,0.9511738104473422,0.002030486955123043,99
1.2705130100250244,0.02927539688643677,0.03940229415893555,0.0023960757343699044,0.8,0.05,3,200,0.09608346534112634,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 1}",0.9538012000374144,0.9485826066629064,0.94927144741292,0.9507444179284473,0.9514370412240735,0.9507673426531523,0.0018256005183918964,100
2.6231892108917236,0.07062412471723882,0.051223039627075195,0.0017705641619758289,0.8,0.05,3,300,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9591409652363294,0.9554121997687405,0.9568054333311801,0.9567877181521732,0.9564296469403946,0.9569151926857635,0.0012228738854806384,91
1.8079377651214599,0.044202631514250634,0.05260200500488281,0.0014140893095178492,0.8,0.05,3,300,1.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 1}",0.9571898713631856,0.954773931192902,0.9552676439080444,0.9556422360300337,0.9551093377331703,0.9555966040454672,0.0008441583829099079,93
2.7169727802276613,0.13149533607212202,0.0573822021484375,0.0035419961827478264,0.8,0.05,3,300,0.09608346534112634,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 0.8}",0.958753916546365,0.9553051627924253,0.9587193066808528,0.9573527391247076,0.959212920825244,0.9578688091939188,0.0014249216305695824,89
1.8951340675354005,0.06112713850987883,0.05716381072998047,0.002116968304371627,0.8,0.05,3,300,0.09608346534112634,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': np.float64(0.09608346534112634), 'subsample': 1}",0.9590133413572526,0.9551560569278582,0.9560893298530527,0.956448556388198,0.9590736228319184,0.957156181471656,0.0015978127572573578,90
1.458247709274292,0.0820374673857886,0.03719396591186523,0.0038152029071908153,0.8,0.05,5,100,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9585948155913266,0.9558192759347609,0.95492889239032,0.9577637312776665,0.9572716275802864,0.956875668554872,0.0013271630107163238,92
