mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0026021957397460937,0.0004914262700493832,0.0,0.0,1e-05,l1,newton-cg,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,21,,,,,,,
0.0014904022216796875,0.0006658038735696711,0.0,0.0,1e-05,l1,lbfgs,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,21,,,,,,,
0.006474208831787109,0.0009364423005149657,0.0011751174926757813,0.00039450171811280274,1e-05,l1,liblinear,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.01219172477722168,0.0012219249619376032,0.0013004302978515624,0.0004009590544789203,1e-05,l2,newton-cg,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'newton-cg'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0076636791229248045,0.001032988343623043,0.0011983394622802734,0.0004031593569255435,1e-05,l2,lbfgs,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'lbfgs'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.008280372619628907,0.0014012707992430151,0.0016979217529296876,0.00040718952336299744,1e-05,l2,liblinear,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0018347740173339845,0.0004264984283800059,0.0,0.0,1e-05,elasticnet,newton-cg,"{'C': 1e-05, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,21,,,,,,,
0.0012081146240234375,0.00039775935117422677,0.0,0.0,1e-05,elasticnet,lbfgs,"{'C': 1e-05, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,21,,,,,,,
0.0009545326232910156,0.0005628637522373013,0.0,0.0,1e-05,elasticnet,liblinear,"{'C': 1e-05, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,21,,,,,,,
0.0009942054748535156,0.0006281319433868056,0.0,0.0,0.01,l1,newton-cg,"{'C': 0.01, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,21,,,,,,,
0.0006032466888427734,0.0004925644616294466,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,21,,,,,,,
0.010510873794555665,0.004291405891506985,0.001997089385986328,0.0008894244842506942,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.02369556427001953,0.004513344465743224,0.0020115852355957033,1.3344115564045927e-05,0.01,l2,newton-cg,"{'C': 0.01, 'penalty': 'l2', 'solver': 'newton-cg'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.012939071655273438,0.0027940558437692725,0.0026076316833496095,0.0004927981434435686,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.03309717178344727,0.011416556213541963,0.0022979736328125,0.000750849910760519,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.11254980079681275,0.10159362549800798,0.11166500498504486,0.11166500498504486,0.11166500498504486,0.10982768824999105,0.004131268194535078,1,0.10914527784699726,0.11188636929977573,0.10936721474838067,0.10936721474838067,0.10936721474838067,0.109826658278383,0.0010334363894991421
0.0022074699401855467,0.0007539083709370023,0.0,0.0,0.01,elasticnet,newton-cg,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,21,,,,,,,
0.001807832717895508,0.000752466857902154,0.0,0.0,0.01,elasticnet,lbfgs,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,21,,,,,,,
