mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.993403434753418,0.02825209155004533,0.06421756744384766,0.0032003893617709067,0.7,150,3,6,0.2,1.0,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.6587808043825591,0.6468451989098443,0.650884340500457,0.6521701145976201,0.004956785300425884,17
1.9155709743499756,0.07533850772319348,0.12615577379862467,0.008719035491049585,0.7,200,1,8,0.2,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.63694322548246,0.6341353715959858,0.6398103682225825,0.6369629884336762,0.0023168498165471343,20
1.0060749848683674,0.04111995073480059,0.07533144950866699,0.004702572192233644,0.7,150,1,6,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6806938790803382,0.6731708038864572,0.6813370651148898,0.6784005826938951,0.0037073226502697793,3
1.3124113082885742,0.06866625407571098,0.08647267023722331,0.0030552788214418965,0.7,150,3,8,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6604735879349887,0.6655425344386765,0.6610815790268507,0.6623659004668386,0.0022598917135151623,11
0.7920714219411215,0.06395717668522656,0.06362223625183105,0.0022832913605566403,1.0,150,3,6,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6786325641896029,0.6836251079742057,0.6861214864929867,0.6827930528855984,0.0031134360514162352,1
1.0677073796590169,0.05137288084544148,0.09795173009236653,0.03867497619427787,0.7,150,3,6,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6751471748633666,0.6745089302415439,0.6701708050737015,0.673275636726204,0.002210855602416918,4
1.097725550333659,0.07359878103365738,0.0785995324452718,0.005813218531049118,0.7,150,1,6,0.2,0.7,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",0.6588937684650138,0.6459649334398696,0.6569605109050577,0.6539397376033137,0.005694002533792071,16
1.4635365804036458,0.14295122978446737,0.11638800303141277,0.006009058285253974,0.7,150,3,8,0.1,0.7,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6646521405295555,0.6649309830552388,0.665841530164675,0.6651415512498231,0.0005078819741240969,9
1.1428953011830647,0.06949578509020074,0.1259628931681315,0.006244095436995708,1.0,150,1,8,0.2,0.7,"{'subsample': 1.0, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",0.6607256600150209,0.6548803782600952,0.6580313286193862,0.6578791222981674,0.002388752083101282,14
1.1528488000233967,0.13908348981798144,0.1001119613647461,0.00768621085863996,1.0,150,3,8,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.6474665008368848,0.6495636083234643,0.646311901318093,0.6477806701594807,0.0013459634429509044,18
1.7654213905334473,0.17378716388842116,0.094237486521403,0.0033887256321259497,0.7,150,1,8,0.2,1.0,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.6436383046663673,0.6367518790443214,0.6458009627012012,0.64206371547063,0.0038584087487634907,19
1.292197545369466,0.1579199706024554,0.10959760348002116,0.014430705574519106,1.0,150,1,8,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6711419829893986,0.6672808702930365,0.6772916449930253,0.6719048327584868,0.004122325989950521,5
1.8299405574798584,0.07333011984986465,0.09416858355204265,0.003041867321880237,0.7,150,1,8,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6635197035643523,0.6517327242666828,0.6687386667830052,0.6613303648713468,0.007113153222569841,12
1.2511353492736816,0.03365179951349731,0.09719101587931316,0.009459195303746623,1.0,150,3,8,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6731798102986334,0.6639295519607893,0.6759750062364156,0.6710281228319461,0.0051475276520076725,6
1.3737244606018066,0.004467487313998744,0.10014621416727702,0.028922686642155977,0.7,200,1,6,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6659341710197917,0.6631377876497052,0.6676563830132347,0.6655761138942439,0.0018620024514295077,8
