mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.834661602973938,0.00021588802337646484,0.07025551795959473,0.00024628639221191406,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9256724365895332,0.9836494544316067,0.9546609455105699,0.028988508921036715,15
0.6278786659240723,0.007032155990600586,0.06665730476379395,0.0032455921173095703,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.9258322832246059,0.9834469279214486,0.9546396055730273,0.02880732234842137,16
1.4349173307418823,0.022414565086364746,0.10783588886260986,0.005681395530700684,0.8,0.1,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9316685234083242,0.9924345266726663,0.9620515250404953,0.03038300163217106,11
1.106178879737854,0.0035768747329711914,0.10276758670806885,0.0036269426345825195,0.8,0.1,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1}",0.9307575061977124,0.9925614861724484,0.9616594961850804,0.03090198998736804,12
1.234815001487732,0.02021944522857666,0.12401425838470459,0.009064793586730957,0.8,0.1,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9351782508989925,0.9939952542747845,0.9645867525868885,0.029408501687895994,7
1.0029244422912598,0.03317403793334961,0.1401503086090088,0.022734403610229492,0.8,0.1,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",0.9354236601807339,0.993447338249778,0.964435499215256,0.02901183903452209,9
2.115644335746765,0.002527594566345215,0.16558444499969482,0.0027593374252319336,0.8,0.1,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9371645658405222,0.9966570295604205,0.9669107977004714,0.029746231859949124,3
1.8310683965682983,0.053116679191589355,0.16884911060333252,0.007931828498840332,0.8,0.1,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1}",0.9367926505923467,0.9966217375048757,0.9667071940486112,0.029914543456264486,4
0.8156872987747192,0.025024771690368652,0.0771564245223999,0.0038732290267944336,0.8,0.2,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9308717309584799,0.9914378035943283,0.961154767276404,0.030283036317924228,13
0.600865364074707,0.026528120040893555,0.06613576412200928,0.003981947898864746,0.8,0.2,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.9295596231768049,0.9927276046963235,0.9611436139365641,0.03158399075975932,14
1.455759048461914,0.08061671257019043,0.1086810827255249,0.005417943000793457,0.8,0.2,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9318672366578307,0.9958171335398628,0.9638421850988468,0.03197494844101606,10
1.1224210262298584,0.015885353088378906,0.10937309265136719,0.006228923797607422,0.8,0.2,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1}",0.93333592682798,0.9957451888287288,0.9645405578283544,0.031204631000374405,8
1.0602033138275146,0.02051830291748047,0.08256721496582031,0.004023313522338867,0.8,0.2,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9370470350603477,0.9962289000472415,0.9666379675537946,0.02959093249344691,5
0.9211697578430176,0.016243696212768555,0.08259916305541992,0.004011631011962891,0.8,0.2,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",0.9365085417874051,0.9964618610320829,0.966485201409744,0.02997665962233892,6
1.4999483823776245,0.0812615156173706,0.09734106063842773,0.00027179718017578125,0.8,0.2,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9383206521828643,0.9972309521424212,0.9677758021626428,0.02945514997977844,1
1.1452094316482544,0.015124678611755371,0.11831378936767578,0.0146026611328125,0.8,0.2,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1}",0.9379017484927953,0.9976026227212903,0.9677521856070428,0.029850437114247508,2
