mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__bootstrap,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.47430435816447,0.14375192330285186,0.14061808586120605,0.002878006679334435,True,10,2,5,100,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.2152788159665122,0.22320227238750187,0.18241626794258373,0.20696578543219926,0.017657942446078573,4
18.31062976519267,0.11851742646331888,0.38284508387247723,0.016662613396996557,True,10,2,5,300,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.20914934967857676,0.2235012707430109,0.17927631578947367,0.2039756454036871,0.0184216733243501,7
6.379986047744751,0.15900623575910688,0.14147146542867026,0.007493929760738715,True,10,2,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.2199132904769024,0.2081028554342951,0.18436004784688995,0.2041253979193625,0.014784527759101272,6
19.322753429412842,0.14874596513430238,0.40908098220825195,0.009888524310059706,True,10,2,10,300,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.22125878307669308,0.224099267454029,0.18600478468899523,0.21045427840657246,0.01732725012148702,1
6.373422304789226,0.04615609340600308,0.14514764149983725,0.00930570130753271,True,10,4,5,100,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.20630886530124085,0.21767080281058454,0.170305023923445,0.19809489734509014,0.02019044666147585,8
18.619874238967896,0.4407587952135879,0.37070218722025555,0.012855045336968742,True,10,4,5,300,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.20944834803408582,0.22918223949768277,0.18286483253588517,0.20716514002255126,0.01897779976769604,3
6.303768873214722,0.10171091480311897,0.13074469566345215,0.0020259463846108777,True,10,4,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.22051128718792046,0.21961429212139333,0.18241626794258373,0.20751394908396584,0.017750518284324526,2
18.399146556854248,0.4193540498314241,0.37637488047281903,0.0058071313516322625,True,10,4,10,300,"{'rf__bootstrap': True, 'rf__max_depth': 10, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.21841829869935717,0.2199132904769024,0.17912679425837322,0.2058194611448776,0.018884430963788616,5
9.124400774637857,0.14436620742333056,0.20536883672078451,0.004148551349946137,True,20,2,5,100,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.14441620571086858,0.11631036029301839,0.10825358851674641,0.12299338484021112,0.01550120067190368,11
27.295894861221313,0.40706551130981017,0.6401198705037435,0.004162292008144001,True,20,2,5,300,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.13066228135745253,0.12647630438032592,0.11079545454545454,0.122644680094411,0.008551167966844853,12
8.678646723429361,0.2992688606018201,0.2003173828125,0.00972830168386286,True,20,2,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.13619375093436986,0.11885184631484527,0.10197368421052631,0.11900642715324716,0.013970711341297237,15
26.80111026763916,0.35000530215649706,0.46313317616780597,0.046261913929035496,True,20,2,10,300,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.13410076244580654,0.11840334878158171,0.09958133971291866,0.1173618169801023,0.014111726278124726,16
8.706174373626709,0.45081542430455435,0.20142976442972818,0.007454012516098927,True,20,4,5,100,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.14949917775452234,0.11825384960382718,0.12679425837320574,0.13151576191051842,0.013185524374626343,9
23.64961043993632,0.3774134054531988,0.3903204600016276,0.024973828906962186,True,20,4,5,300,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.1324562714905068,0.12064583644789954,0.12006578947368421,0.12438929913736352,0.005709124032800919,10
8.604913075764975,0.16305383254182151,0.18523414929707846,0.01134517495686581,True,20,4,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.14710719091045,0.10539692031693826,0.10660885167464115,0.11970432096734314,0.0193830708823115,14
20.54455812772115,0.22463257719185795,0.33612291018168133,0.0027118230260602754,True,20,4,10,300,"{'rf__bootstrap': True, 'rf__max_depth': 20, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.1424727164000598,0.11152638660487367,0.10959928229665072,0.12119946176719472,0.015063022157139849,13
