mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.132132244110107,0.4908233797294652,0.1509779453277588,0.011706491967317056,True,balanced,10,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.919136659888404,0.9076641607831138,0.9146578150941083,0.9204478814958205,0.922305518326938,0.916842407117677,0.005236817228805151,32
19.912029409408568,1.0558502702643529,0.2825024127960205,0.015116054424046814,True,balanced,10,1,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.920902732702489,0.9089365208820563,0.9170835638792945,0.9222666150104477,0.9231867441433103,0.9184752353235195,0.005203641828926565,27
29.62729992866516,0.9892433534001657,0.42699742317199707,0.01824402367924851,True,balanced,10,1,2,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9223223339103136,0.9080102594382371,0.9173795379016069,0.9224887447076369,0.9252750948841675,0.9190951941683924,0.006098213565146675,25
10.0106831073761,0.576136658423535,0.14861221313476564,0.009249317916920845,True,balanced,10,1,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9204469118228644,0.9084404212796371,0.9133980607435959,0.9171995516828974,0.9238128017019573,0.9166595494461903,0.005366490667054421,33
20.12704815864563,0.9553058633493255,0.309063720703125,0.00981645662488348,True,balanced,10,1,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9205719996342095,0.9075583172504371,0.915951806358996,0.9207638456990752,0.9246389648942943,0.9178969867674024,0.005856631407856572,30
28.92449469566345,0.6209470178204788,0.4265993595123291,0.011525263192564595,True,balanced,10,1,5,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.922658139114056,0.9079029986912398,0.917366037070448,0.9220076377409245,0.9252082437850675,0.9190286112803472,0.006111944654988456,26
10.113452005386353,0.41420882468858145,0.15518550872802733,0.0070434331025140875,True,balanced,10,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9216709374544534,0.9061035840455084,0.9111968285428753,0.919075794262848,0.9205905190368576,0.9157275326685085,0.006055265800023088,35
19.94977011680603,0.8668879737262312,0.29450430870056155,0.015568980656507882,True,balanced,10,2,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.923490640642037,0.9075686107018178,0.9130796350628371,0.9193687100858371,0.92358829840152,0.9174191789788099,0.0062383762229493945,31
29.36741433143616,0.7758984490741929,0.4180243492126465,0.012695203113364051,True,balanced,10,2,2,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9235589652903328,0.9076793025992755,0.914681982327785,0.921524964379437,0.9243001581520924,0.9183490745497845,0.006323546989162273,28
10.085116958618164,0.7444311252254088,0.15127482414245605,0.00890838211150731,True,balanced,10,2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9174639740390205,0.9038422321215057,0.91144775006784,0.9194754487012424,0.9207817460089484,0.9146022301877116,0.006258634923806609,36
20.255614709854125,0.9111856818786159,0.2959311008453369,0.010981308098326653,True,balanced,10,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9206111595035932,0.9060151200358152,0.9139831464873003,0.9200928320134095,0.9219912584726867,0.9165387033025609,0.005936729127963069,34
31.856162071228027,2.9291498890792487,0.4520456790924072,0.020554397303445503,True,balanced,10,2,5,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9219878713306642,0.9071826808652645,0.9150546351038616,0.9218927687907327,0.9234702644296717,0.917917644104039,0.006109602519062717,29
13.535205173492432,1.0688666012307702,0.2249758720397949,0.017246947596735503,True,balanced,15,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9692938140385072,0.9640362472701841,0.9703906633323842,0.9707798751389429,0.9716777409939222,0.9692356681547881,0.002709969272920603,15
29.25604920387268,1.1660993862773097,0.43928704261779783,0.033980553243760606,True,balanced,15,1,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9706261446802773,0.964903880795269,0.9712705296547621,0.9720454475271922,0.9727160967374201,0.9703124198789842,0.002794628414751992,14
