mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.46334107716878253,0.03036366354049281,0.06755336125691731,0.02752803011220067,0.8,0,0.1,3,1,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.7}",0.04021527881596651,0.03573030348333084,0.04066985645933014,0.038871812919542496,0.0022291211065973474,106
0.3559423287709554,0.015522267877245465,0.06060004234313965,0.03417039720332575,0.8,0,0.1,3,1,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.0354313051278218,0.03916878457168486,0.03812799043062201,0.03757602671004289,0.0015749467948582454,115
0.6790487766265869,0.02259937066662279,0.05803291002909342,0.02595176955537338,0.8,0,0.1,3,1,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 0.7}",0.04185976977126626,0.037673792794139634,0.04709928229665072,0.0422109482873522,0.003855944143190433,88
0.5016520818074545,0.024316399723333326,0.05278921127319336,0.019114407151404153,0.8,0,0.1,3,1,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 1.0}",0.03513230677231275,0.03991628046045747,0.04485645933014354,0.039968348854304586,0.003970039385213547,100
0.43786923090616864,0.011298959869006173,0.028369585673014324,0.0020568098492009333,0.8,0,0.1,3,3,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.7}",0.03573030348333084,0.03573030348333084,0.03842703349282297,0.03662921348649489,0.0012712507178274323,120
0.3438913822174072,0.01449829204508731,0.030646642049153645,0.0018433907853977287,0.8,0,0.1,3,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.036029301838839886,0.0340858125280311,0.03842703349282297,0.03618071595323132,0.0017755270657497401,123
0.6595173676808676,0.024037598608099744,0.037699619928995766,0.0013263560819124767,0.8,0,0.1,3,3,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'subsample': 0.7}",0.037374794438630586,0.03991628046045747,0.04680023923444976,0.041363771377845936,0.003981722815289906,93
0.4399854342142741,0.01420757636789926,0.04562703768412272,0.011497438448744542,0.8,0,0.1,3,3,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'subsample': 1.0}",0.0354313051278218,0.03827178950515772,0.04066985645933014,0.038124317030769884,0.002141170413775063,111
0.6437412897745768,0.03057558557475426,0.04327185948689779,0.001939001948258457,0.8,0,0.1,6,1,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.7}",0.049334728658992376,0.044849753326356705,0.05651913875598086,0.05023454024710997,0.004806307296796864,44
0.5021383762359619,0.03946678752205475,0.043270111083984375,0.0033562020081266456,0.8,0,0.1,6,1,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.043803259082075045,0.04006577963821199,0.04560406698564593,0.04315770190197765,0.0023066158096900578,81
0.9562377134958903,0.012041771344155638,0.05934604008992513,0.004537538774590765,0.8,0,0.1,6,1,150,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 0.7}",0.056809687546718494,0.04783973688144715,0.05636961722488038,0.053673013884348676,0.0041286604701343925,30
0.7218233744303385,0.02221334357664582,0.058745225270589195,0.00024086533836103802,0.8,0,0.1,6,1,150,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 150, 'subsample': 1.0}",0.04873673194797429,0.04365375990432053,0.05083732057416268,0.0477426041421525,0.0030157479497969534,59
0.6489266554514567,0.03296383173670055,0.04201690355936686,0.0013713855230156453,0.8,0,0.1,6,3,100,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.7}",0.050680221258783076,0.04739123934818359,0.04665071770334928,0.04824072610343865,0.0017512748758792308,55
0.5215036074320475,0.024351497907927983,0.044203996658325195,0.00022786040010437032,0.8,0,0.1,6,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.048288234414710716,0.04126177306024817,0.0506877990430622,0.04674593550600703,0.00399970881440243,63
