mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
4.272582173347473,0.18838274478912354,0.28070569038391113,0.01656508445739746,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9152052867379856,0.9461971956791831,0.9307012412085844,0.01549595447059876,11
8.77793002128601,0.2592346668243408,0.5747228860855103,0.01689732074737549,True,10,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9165853230736452,0.9465964124414127,0.9315908677575289,0.015005544683883765,9
4.211328744888306,0.015613317489624023,0.2714262008666992,0.011790990829467773,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9132564062003165,0.9460266910104271,0.9296415486053717,0.016385142405055342,13
8.64775550365448,0.6284929513931274,0.5654051303863525,0.008021116256713867,True,10,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9152616501915904,0.9471078309669754,0.9311847405792829,0.015923090387692462,10
4.37045431137085,0.2339186668395996,0.27790582180023193,0.0023230314254760742,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9136948237594473,0.9449200935109379,0.9293074586351926,0.015612634875745268,14
8.543442130088806,0.49723899364471436,0.5420355796813965,0.008721351623535156,True,10,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9144599345179004,0.9449262162111389,0.9296930753645196,0.015233140846619253,12
4.116042852401733,0.016577482223510742,0.2880415916442871,0.010751485824584961,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9123731022642987,0.9454968805140854,0.928934991389192,0.01656188912489337,16
8.589820504188538,0.06771361827850342,0.5524204969406128,0.03274881839752197,True,10,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9132299162722537,0.9450335245883463,0.9291317204303,0.015901804158046318,15
5.693930268287659,0.16201722621917725,0.4032634496688843,0.006774783134460449,True,15,1,2,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9522519136183197,0.9830379840624086,0.9676449488403642,0.015393035222044438,2
10.737577438354492,0.002989053726196289,0.6977318525314331,0.02134573459625244,True,15,1,2,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9532318082224213,0.9840174370682497,0.9686246226453354,0.015392814422914236,1
5.577443957328796,0.01124107837677002,0.3838154077529907,0.01619851589202881,True,15,1,5,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9501104126936251,0.9807801398988062,0.9654452762962156,0.015334863602590565,4
10.65912389755249,0.04020857810974121,0.5895068645477295,0.0105133056640625,True,15,1,5,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9505855008109773,0.9817602493344937,0.9661728750727354,0.015587374261758213,3
5.696265697479248,0.10809564590454102,0.3776857852935791,0.0018472671508789062,True,15,2,2,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9488752742951787,0.9790785901920643,0.9639769322436216,0.015101657948442815,7
10.144989728927612,0.17603659629821777,0.6065735816955566,0.0370182991027832,True,15,2,2,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9492133714711912,0.9804015350337446,0.964807453252468,0.015594081781276692,5
5.218155860900879,0.048050642013549805,0.3389521837234497,0.0019606351852416992,True,15,2,5,100,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9488683877493387,0.9787825642016436,0.9638254759754912,0.014957088226152437,8
8.399868607521057,0.0512009859085083,0.5102083683013916,0.011886835098266602,True,15,2,5,200,"{'bootstrap': True, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.948986425770758,0.9798308110553574,0.9644086184130577,0.015422192642299715,6
