mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.9325754642486572,0.2185280493034475,0.1927348772684733,0.007856775909284776,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.037972791149648674,0.04156077141575722,0.039473684210526314,0.039669082258644066,0.0014712887537580226,41
7.604755004247029,0.20008984654258835,0.3462866147359212,0.0034193534145663474,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.042158768126775305,0.03931828374943938,0.03723086124401914,0.039569304373411274,0.002019624565197423,46
18.734795331954956,0.5510120582633217,0.882555882136027,0.02661656643301189,True,,1,2,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.04185976977126626,0.03991628046045747,0.037529904306220094,0.03976865151264794,0.0017707398578039575,40
3.658375342686971,0.11941775811042937,0.16296656926472983,0.007496417915298872,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.03961728210494842,0.04440125579309314,0.04231459330143541,0.04211104373315899,0.001958345455101386,26
6.7906224727630615,0.07679762211491793,0.3245089848836263,0.007730315228429786,True,,1,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.03961728210494842,0.04499925250411123,0.03588516746411483,0.04016723402439149,0.0037410757690220483,37
17.751250505447388,0.7148954282017732,0.8893213272094727,0.042710096164540114,True,,1,5,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.042457766482284345,0.03857078786066677,0.035586124401913874,0.03887155958162166,0.0028133863274559575,58
3.424952665964762,0.06135660859784768,0.16213186581929526,0.0068728978158856206,True,,1,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.04051427717147556,0.036627298549857974,0.03842703349282297,0.03852286973805217,0.0015882987000042435,66
6.879909515380859,0.13813876068635625,0.33730125427246094,0.017104289895810823,True,,1,10,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.036029301838839886,0.037972791149648674,0.03842703349282297,0.03747637549377051,0.0010399040496375373,78
17.35249964396159,0.4555562101541603,0.8472580909729004,0.042311401015918355,True,,1,10,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.03827178950515772,0.036328300194348934,0.03842703349282297,0.037675707730776546,0.0009548666489246858,77
3.5240050156911216,0.05748072867594394,0.17759553591410318,0.006336960067825796,True,,2,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.047241740170429064,0.04275676483779339,0.03782894736842105,0.0426091507922145,0.0038441739046009686,21
6.982745726903279,0.23394241242508093,0.3355098565419515,0.008789166534439662,True,,2,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.0354313051278218,0.037673792794139634,0.035586124401913874,0.036230407441291766,0.0010225827462914403,107
17.584555864334106,0.4709702282227064,0.8335588773091634,0.024076861325315703,True,,2,2,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.03827178950515772,0.03827178950515772,0.035586124401913874,0.03737656780407644,0.0012660346709998627,79
3.4420176347096763,0.05894696673727112,0.16698519388834634,0.005777027616394292,True,,2,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.040813275526984605,0.040813275526984605,0.03588516746411483,0.039170572839361345,0.002323132419783544,51
6.701959451039632,0.10648566076546889,0.3337877591451009,0.022056181109756358,True,,2,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.04051427717147556,0.04051427717147556,0.03618421052631579,0.03907092162308897,0.00204121299185477,53
17.679022471110027,0.5252066394088651,0.834210475285848,0.028269292229294033,True,,2,5,500,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.04499925250411123,0.03857078786066677,0.03588516746411483,0.03981840260963094,0.0038239633410417024,39
3.333767890930176,0.08857042484812509,0.16571784019470215,0.014753524056698277,True,,2,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.036328300194348934,0.04305576319330243,0.03618421052631579,0.03852275797132238,0.0032058584617314033,68
6.456902901331584,0.0942360357442679,0.31424911816914874,0.01822211572714042,True,,2,10,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.036328300194348934,0.036627298549857974,0.03618421052631579,0.036379936423507564,0.00018453811579711063,104
